# Секція категорій — можна редагувати в Excel
id,назва,emoji,порядок
protein,"Протеїни",🥛,1
gainer,"Гейнери",🏋️,2
creatine,"Креатин",⚡,3
amino,"Амінокислоти / BCAA",🧬,4
preworkout,"Передтренувальні",🔥,5
vitamins,"Вітаміни / мінерали",💊,6
fatburner,"Жироспалювачі",🔥,8
accessories,"Аксесуари",🥤,9
isotonic,"Ізотоніки",🧃,11
adaptogeny,"Адаптогени",📦,14
omega-3-ta-zhyrni-kyslot,"Омега-3 та жирні кислоти",📦,17
son-i-nervova-systema,"Сон і нервова система",📦,20
zdorovya-ta-vidnovlennya,"Здоров'я та відновлення",📦,21
krasa-i-zdorovya-shkiry-,"Краса і здоров'я шкіри, нігтів, волосся",📦,22
dlya-mozku,"Для мозку",📦,25
zdorovya-suglobiv-i-zvya,"Здоров’я суглобів і зв’язок",📦,26
nad,"NAD+",📦,28
dlya-pechinky,"Для печінки",📦,29
dlya-shlunku-ta-probioty,"Для шлунку та пробіотики",📦,30
protyzapalni-kompleksy,"Протизапальні комплекси",📦,31
gormonalna-pidtrymka,"Гормональна підтримка",📦,32
dlya-pidtrymky-sertsya-i,"Для підтримки серця і кровообігу",📦,33

# Секція товарів — можна редагувати в Excel
# Колонка E (собівартість) — для власного аналізу маржі, каса її ігнорує
id,категорія,назва,кількість,собівартість,ціна продажу
1279,amino,"Комплекс амінокислот Powerful Progress EAA + BCAA - 500 грам",20,,830
1288,creatine,"Креатин моногідрат Powerful Progress СREA-TOR MICRONIZED - 500 грам",20,,800
1299,creatine,"Креатин моногідрат Real Pharm Creatine Monohydrate - 500 грам",20,,1200
1303,creatine,"Креатин моногідрат, HS Labs CREATINE POWDER - 300 грам",20,,1000
1304,creatine,"Креатин моногідрат, HS Labs CREATINE POWDER - 500 грам",20,,1350
1306,accessories,"Рукавиці для фітнесу жіночі PRO Pure Nutrition GREY & BLUE (розмір S)",20,,650
1308,accessories,"Шейкер, Pure Nutrition, RAINBOW Shaker (синій) - 600 мл",20,,120
1310,accessories,"Шейкер чорний VPLab з кулькою для змішування - 500 мл",20,,150
1314,accessories,"Шейкер Biotech USA синього кольору 3-х компонентний - 500 мл + 2 додаткових контейнера",20,,350
1320,fatburner,"Йохімбе Puritan's Pride Yohimbe Extract - 50 капсул",20,,450
1346,protein,"Сироватковий протеїн концентрат Take-a-Whey Whey Protein (шоколадний коктейль) - 907 грам",20,,1280
1352,preworkout,"Передтренувальний комплекс Rule One Roar (чорниця та малина) - 300 грам",20,,1000
1357,preworkout,"Передтренувальний комплекс, ALLMAX Muscle Prime - 266 грам",20,,912
1361,preworkout,"Передтренувальний комплекс FA Core Neuro - 350 грам",20,,750
